MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00097-7504,1413-R1,214 FRONT STREET,1,10038,40.707333,-74.002532,1,1,1501,1086562,1000977504,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,15,1999,20091,710000,35.3,3310000,165,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,689000,28,2850000,116,0.3,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,17,1900,14053,554000,39.4,2720000,194,0.04
1-00100-7501,1286-R1,150 NASSAU STREET,1,10038,40.711401,-74.006204,1,1,1501,1087756,1001007501,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,125,1900,168889,5580000,33,25999996,154,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,1935,24610,689000,28,2850000,116,0.05,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,2004,40000,1615000,40.4,7930000,198,0.3
1-00106-7502,1164-R1,324 PEARL STREET,1,10038,40.709074,-74.002207,1,1,1501,1001364,1001067502,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,49,1900,37646,1148203,30.5,5349996,142,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,2004,40000,1615000,40.4,7930000,198,0.1,1-00107-0042,23 PECK SLIP,SOUTHBRIDGE,D7-ELEVATOR,24,1900,25903,647000,24.98,2680000,103,0.04
1-00132-7501,401-R1,295 GREENWICH STREET,1,10007,40.716012,-74.011017,1,1,21,1066187,1001377502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,128,1987,115909,4056815,35,18900006,163,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0.45,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.04
1-00132-7501,401-R2,275 GREENWICH STREET,1,10007,40.715221,-74.01124,1,1,21,1081076,1001327501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,133,1987,138016,4830560,35,22499996,163,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0.4,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.1
1-00132-7503,1042-R1,71 MURRAY STREET,1,10007,40.714582,-74.010569,1,1,21,1001421,1001327503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,11,2001,54500,2400000,44,11800003,217,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.1,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.35
1-00134-7503,1148-R1,9 MURRAY STREET,1,10007,40.713314,-74.007759,1,1,21,1001446,1001347503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,27,1900,59853,1616031,27,6690001,112,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.1,1-00150-0015,122 DUANE STREET,CIVIC CENTER,D5-ELEVATOR,26,1920,29165,615000,21.09,2550000,87,0.15
1-00134-7505,1796-R1,25 MURRAY STREET,1,10007,40.713588,-74.008361,1,1,21,1001451,1001347505,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,75,1930,118046,4131610,35,19199996,163,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.1,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.25
1-00135-7501,25-R1,260 BROADWAY,1,10007,40.713696,-74.00672,1,1,21,1001473,1001357501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R9-CONDOPS,65,1915,112500,2925000,26,12100000,108,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.15,1-00150-0015,122 DUANE STREET,CIVIC CENTER,D5-ELEVATOR,26,1920,29165,615000,21.09,2550000,87,0.1
1-00135-7503,1162-R1,8 WARREN STREET,1,10007,40.713827,-74.007229,1,1,21,1079154,1001357503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,14,1860,32039,1121365,35,5219998,163,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.3,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.15
1-00135-7504,1131-R1,270 BROADWAY,1,10007,40.714022,-74.006442,1,1,21,1079153,1001357504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,87,1910,217318,7606130,35,34736542,160,1-00126-0027,38 MURRAY STREET,CIVIC CENTER,D5-ELEVATOR,392,1964,620552,22818000,36.8,106000000,171,0.15,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.3
1-00136-7502,1007-R1,38 WARREN STREET,1,10007,40.714489,-74.008643,1,1,21,1079156,1001367502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,26,1900,50165,1555000,31,7240000,144,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.1,1-00173-0027,343 BROADWAY,CIVIC CENTER,D6-ELEVATOR,359,2005,396000,14404000,36.4,67100000,169,0.25
1-00137-7503,1593-R1,92 WARREN STREET,1,10007,40.715507,-74.010894,1,1,21,1079162,1001377503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,12,1920,30062,961984,32,4480000,149,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.35,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.5
1-00140-7501,499-R1,165 CHAMBERS STREET,1,10007,40.716124,-74.010551,1,1,21,1066317,1001407501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,83,1987,89377,3575080,40,17600004,197,1-00151-0001,101 DUANE STREET,CIVIC CENTER,D6-ELEVATOR,443,1988,434418,16704000,38.5,82000000,189,0.2,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0
1-00140-7502,594-R1,311 GREENWICH STREET,1,10013,40.716745,-74.010862,1,1,21,1075706,1001407502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,80,1988,66551,2662040,40,13100003,197,1-00151-0001,101 DUANE STREET,CIVIC CENTER,D6-ELEVATOR,443,1988,434418,16704000,38.5,82000000,189,0.2,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0
1-00140-7505,1847-R1,157 CHAMBERS STREET,1,10007,40.715987,-74.010248,1,1,21,1001505,1001407505,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,38,1931,87334,3144024,36,14600007,167,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.55,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.4
1-00141-7504,996-R1,166 DUANE STREET,1,10013,40.717036,-74.009354,1,1,39,1001531,1001417504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,30,1910,92487,3150000,34.1,14700001,159,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,115,1920,107243,4053000,37.8,18900000,176,0.45,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.4
1-00142-7501,1507-R2,99 WARREN STREET,1,10007,40.715682,-74.011327,1,1,21,1087170,1001427501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,220,2006,535060,32103600,60,158000003,295,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0.5,,,,,,,,,,,,
1-00142-7502,1629-R1,200 CHAMBERS STREET,1,10007,40.716863,-74.012207,1,1,21,1087716,1001427502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,311,2005,314373,17919261,57,88000018,280,1-00016-0185,211 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,253,2004,278141,14415000,52,70800000,255,0.5,,,,,,,,,,,,
1-00143-7501,328-R1,8 JAY STREET,1,10013,40.718005,-74.00965,1,1,39,1001556,1001437501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R9-CONDOPS,13,1915,19882,520000,26.2,2150000,108,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.25,1-00150-0015,122 DUANE STREET,CIVIC CENTER,D5-ELEVATOR,26,1920,29165,615000,21.09,2550000,87,0.25
1-00144-7502,1597-R1,36 HUDSON STREET,1,10013,40.717052,-74.009083,1,1,33,1001562,1001447502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,12,1910,27928,893696,32,4159998,149,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.25,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.35
1-00145-7504,668-R1,97 READE STREET,1,10013,40.715642,-74.008019,1,1,21,1001589,1001457504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,20,1920,24992,799744,32,3730000,149,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.3,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.45
1-00146-7501,715-R1,96 READE STREET,1,10013,40.715683,-74.008073,1,1,33,1083078,1001467501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,21,1895,32300,1033600,32,4810003,149,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.25,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.45
1-00147-7508,1702-R1,52 THOMAS STREET,1,10013,40.716704,-74.007063,1,1,33,1001619,1001477508,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,20,1915,35900,1148800,32,5350000,149,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.4,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.2
1-00147-7509,1816-R1,137 DUANE STREET,1,10013,40.716281,-74.007691,1,1,33,1001607,1001477509,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,19,1915,45510,1456320,32,6779998,149,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.4,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.2
1-00171-7501,32-R1,356 BROADWAY,1,10013,40.717154,-74.003773,1,1,31,1001843,1001717501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CHINATOWN,R4-ELEVATOR,18,1915,20000,580000,29,2699997,135,1-00164-0019,66 MULBERRY STREET,CHINATOWN,C7-WALK-UP,45,1909,20766,587000,28.3,2430000,117,0.25,1-00205-0004,106 MULBERRY STREET,CHINATOWN,C7-WALK-UP,36,1915,21320,669000,31.4,3120000,146,0.3
1-00171-7502,1074-R1,354 BROADWAY,1,10013,40.717088,-74.003827,1,1,31,1001839,1001717502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CHINATOWN,R4-ELEVATOR,12,1900,41204,1359732,33,6329998,154,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.05,1-00236-0027,133 MULBERRY STREET,CHINATOWN,C7-WALK-UP,17,1920,41900,1467000,35,6830000,163,0.3
1-00172-7501,730-R1,374 BROADWAY,1,10013,40.717849,-74.003182,1,1,31,1001866,1001727501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CHINATOWN,R4-ELEVATOR,163,1990,126500,3921500,31,18299991,145,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.45,1-00345-0048,115 PITT STREET,LOWER EAST SIDE,D3-ELEVATOR,172,1983,170100,4885000,28.7,10400000,61,1.1
1-00172-7502,1433-R1,81 WHITE STREET,1,10013,40.717566,-74.002139,1,1,31,1087055,1001727502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CHINATOWN,R4-ELEVATOR,11,1915,28500,865000,30.4,4029998,141,1-00164-0003,34 MULBERRY STREET,CHINATOWN,C7-WALK-UP,28,1915,22052,725265,32.9,3380000,153,0.2,1-00273-0017,191 MADISON STREET,LOWER EAST SIDE,D1-ELEVATOR,24,1910,8995,190000,21.12,787000,87,0.65
1-00173-7501,1157-R1,66 LEONARD STREET,1,10013,40.717549,-74.005523,1,1,33,1001877,1001737501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,47,1900,132423,4759282,35.9,22199999,168,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.1,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.3
1-00173-7502,1434-R1,65 WORTH STREET,1,10013,40.716926,-74.005905,1,1,33,1079275,1001737502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,30,1920,89678,2780000,31,12899996,144,1-00170-0020,95 WORTH STREET,CIVIC CENTER,D6-ELEVATOR,339,2001,364721,14008000,38.4,68800000,189,0.1,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.3
1-00175-7503,711-R1,55 WHITE STREET,1,10013,40.718425,-74.003932,1,1,33,1001935,1001757503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,17,1860,32939,922000,28,3820000,116,1-00150-0015,122 DUANE STREET,CIVIC CENTER,D5-ELEVATOR,26,1920,29165,615000,21.09,2550000,87,0.25,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0
1-00175-7504,1108-R1,90 FRANKLIN STREET,1,10013,40.718137,-74.005004,1,1,33,1001924,1001757504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R4-ELEVATOR,24,1915,98891,3609522,36.5,16799999,170,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,4506000,32.5,21000000,152,0.4
1-00178-7502,932-R1,211 WEST BROADWAY,1,10013,40.718941,-74.006522,1,1,33,1079278,1001787502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,CIVIC CENTER,R2-WALK-UP,11,1915,24985,599640,24,2479999,99,1-00150-0015,122 DUANE STREET,CIVIC CENTER,D5-ELEVATOR,26,1920,29165,615000,21.09,2550000,87,0.25,1-00175-0020,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,1261000,37.6,5870000,175,0.1
1-00179-7506,1196-R1,14 LEONARD STREET,1,10013,40.71874,-74.008124,1,1,33,1001998,1001797506,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,31,1915,88615,2481000,28,10300000,116,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.25,1-00214-0002,399 GREENWICH STREET,TRIBECA,C7-WALK-UP,22,1915,7450,271000,36.4,1260000,169,0.2
1-00180-7502,198-R1,67 HUDSON STREET,1,10013,40.718038,-74.008932,1,1,39,1002045,1001807502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,20,1915,20750,612125,29.5,2850003,137,1-00174-0007,75 LEONARD STREET,CIVIC CENTER,C7-WALK-UP,18,1920,23072,837000,36.3,3900000,169,0.25,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.3
1-00188-7502,1063-R1,387 GREENWICH STREET,1,10013,40.720285,-74.010144,1,1,39,1002124,1001887502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,36,1915,86451,2982560,34.5,13899999,161,1-00016-0020,70 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,230765,6485000,28.1,26900000,117,0.75,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3
1-00188-7503,1155-R1,53 NORTH MOORE STREET,1,10013,40.720006,-74.009008,1,1,39,1002127,1001887503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,46,1910,83020,2864190,34.5,13300004,160,1-00016-0020,70 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,230765,6485000,28.1,26900000,117,0.75,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3
1-00188-7505,1986-R1,48 BEACH STREET,1,10013,40.720634,-74.008831,1,1,39,1002125,1001887505,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,25,1930,94532,2646896,28,11000000,116,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.15,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3
1-00189-7501,229-R1,220 WEST BROADWAY,1,10013,40.719246,-74.006313,1,1,33,1002154,1001897501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R9-CONDOPS,24,1915,52735,1423845,27,5900000,112,1-00016-0020,70 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,230765,6485000,28.1,26900000,117,0.75,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0.75
1-00189-7502,430-R1,104 HUDSON STREET,1,10013,40.719394,-74.008669,1,1,33,,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,14,1921,40581,1136268,28,4709999,116,1-00016-0020,70 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,230765,6485000,28.1,26900000,117,0.75,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0.75
1-00189-7507,1052-R1,132 FRANKLIN STREET,1,10013,40.71916,-74.007201,1,1,33,1002128,1001897507,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,13,1915,53468,1630774,30.5,7599998,142,1-00174-0007,75 LEONARD STREET,CIVIC CENTER,C7-WALK-UP,18,1920,23072,837000,36.3,3900000,169,0.2,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.2
1-00189-7508,1061-R1,38 NORTH MOORE STREET,1,10013,40.719879,-74.007929,1,1,33,1002142,1001897508,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R9-CONDOPS,11,1915,18315,504000,27.5,2090000,114,1-00174-0007,75 LEONARD STREET,CIVIC CENTER,C7-WALK-UP,18,1920,23072,837000,36.3,3900000,169,0.2,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.2
1-00190-7503,956-R1,31 NORTH MOORE STREET,1,10013,40.719868,-74.007652,1,1,33,1002161,1001907503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,23,1915,86900,2700000,31.1,12600000,145,1-00220-0027,36 LAIGHT STREET,TRIBECA,D7-ELEVATOR,13,1900,26712,882000,33,4110000,154,0.15,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3
1-01404-7503,332-R1,188 EAST 70 STREET,1,10021,40.768609,-73.961992,8,4,120,1042610,1014047503,Upper East Side-Carnegie Hill                                              ,UPPER EAST SIDE (59-79),R4-ELEVATOR,97,1986,165624,7300000,44.1,35800025,216,1-01426-9035,218 EAST 72 STREET,UPPER EAST SIDE (59-79),D3-ELEVATOR,147,1975,156200,7477294,47.9,15900000,102,0.15,,,,,,,,,,,,
1-00190-7504,1045-R1,27 NORTH MOORE STREET,1,10013,40.719855,-74.007486,1,1,33,1002167,1001907504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,57,1905,150010,4875000,32.5,22699999,151,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.35
1-00190-7505,1181-R1,25 NORTH MOORE STREET,1,10013,40.719847,-74.007403,1,1,33,1002160,1001907505,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,33,1924,119996,4439852,37,20700000,173,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.35,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3
1-00190-7506,2009-R1,124 HUDSON STREET,1,10013,40.720143,-74.008539,1,1,33,1002166,1001907506,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,26,2000,68033,2517221,37,11700002,172,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.3,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.35
1-00193-7501,120-R1,395 BROADWAY,1,10013,40.71845,-74.002702,1,1,33,1002221,1001937501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,64,1915,119640,3948120,33,18400018,154,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.35,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.2
1-00193-7509,1624-R1,51 WALKER STREET,1,10013,40.719012,-74.003398,1,1,33,1087528,1001937509,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,15,2005,34587,1435360,41.5,7049999,204,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,0.2,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.35
